workerid,face_dft,condition,rating,dft
anon36,90,attractive,8,90
anon36,100,attractive,8.33333333333333,100
anon37,0,trustworthy,6,0
anon37,10,trustworthy,6,10
anon37,20,trustworthy,6,20
anon37,30,trustworthy,6,30
anon37,40,trustworthy,6,40
anon37,50,trustworthy,6,50
anon37,60,trustworthy,6,60
anon37,70,trustworthy,6,70
anon37,80,trustworthy,6,80
anon37,90,trustworthy,6,90
anon37,100,trustworthy,6,100
anon38,0,attractive,3.66666666666667,0
anon38,10,attractive,4.33333333333333,10
anon38,20,attractive,6.33333333333333,20
anon38,30,attractive,6.33333333333333,30
anon38,40,attractive,7,40
anon38,50,attractive,8.33333333333333,50
anon38,60,attractive,9,60
anon38,70,attractive,8.66666666666667,70
anon38,80,attractive,9,80
anon38,90,attractive,9,90
anon38,100,attractive,9,100
anon39,0,trustworthy,2,0
anon39,10,trustworthy,2,10
anon39,20,trustworthy,1.66666666666667,20
anon39,30,trustworthy,1.33333333333333,30
anon39,40,trustworthy,1.66666666666667,40
anon39,50,trustworthy,1.33333333333333,50
anon39,60,trustworthy,1,60
anon39,70,trustworthy,1,70
anon39,80,trustworthy,1.33333333333333,80
anon39,90,trustworthy,1,90
anon39,100,trustworthy,1,100
anon4,0,attractive,6.66666666666667,0
anon4,10,attractive,8,10
anon4,20,attractive,8,20
anon4,30,attractive,9,30
anon4,40,attractive,8.66666666666667,40
anon4,50,attractive,9,50
anon4,60,attractive,9,60
anon4,70,attractive,9,70
anon4,80,attractive,9,80
anon4,90,attractive,9,90
anon4,100,attractive,9,100
anon40,0,trustworthy,3,0
anon40,10,trustworthy,3.66666666666667,10
anon40,20,trustworthy,4.66666666666667,20
anon40,30,trustworthy,5.33333333333333,30
anon40,40,trustworthy,5.66666666666667,40
anon40,50,trustworthy,6,50
anon40,60,trustworthy,6.66666666666667,60
anon40,70,trustworthy,7,70
anon40,80,trustworthy,7.33333333333333,80
anon40,90,trustworthy,6.33333333333333,90
anon40,100,trustworthy,7,100
anon41,0,trustworthy,5.66666666666667,0
anon41,10,trustworthy,6,10
anon41,20,trustworthy,5,20
anon41,30,trustworthy,4.66666666666667,30
anon41,40,trustworthy,6,40
anon41,50,trustworthy,5,50
anon41,60,trustworthy,5.66666666666667,60
anon41,70,trustworthy,5.66666666666667,70
anon41,80,trustworthy,4.66666666666667,80
anon41,90,trustworthy,4,90
