Participant,Age,Language,Ethnicity,Gender,Evaluation.Type,Condition,Profile Number,Order,Text,Liking,Attention Check,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,MR.Composite
40,28,English,White,Male,Actual,Control,5,Order1,,4,,5,5,3,3,2,5,5,5,5,5,5,3,5,3,3,3,5,5,3,5,4.25
40,28,English,White,Male,Actual,Control,10,Order1,,4,,5,5,3,3,2,5,5,5,5,5,5,3,5,3,3,3,5,5,3,5,4.25
40,28,English,White,Male,Actual,Control,18,Order1,,4,,5,5,3,3,2,5,5,5,5,5,5,3,5,3,3,3,5,5,3,5,4.25
41,24,English,Asian,Female,Actual,Control,8,Order1,,4,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,16,Order1,,4,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,11,Order1,,5,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,2,Order1,,6,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,14,Order1,,5,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,3,Order1,,5,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,9,Order1,,2,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,7,Order1,,7,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,17,Order1,,4,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,15,Order1,,3,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,12,Order1,,6,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,4,Order1,,5,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,13,Order1,,4,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,6,Order1,,7,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Maximize,1,Order1,,5,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,5,Order1,,7,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,10,Order1,,2,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
41,24,English,Asian,Female,Actual,Control,18,Order1,,4,,7,7,7,1,2,6,6,6,2,2,7,6,7,7,1,7,7,7,,7,6
42,36,English,White,Male,Actual,Control,8,Order1,,5,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,16,Order1,,6,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,11,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,2,Order1,,5,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,14,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,3,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,9,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,7,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,17,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,15,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,12,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,4,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,13,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,6,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Maximize,1,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,5,Order1,,5,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,10,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
42,36,English,White,Male,Actual,Control,18,Order1,,4,,6,6,5,3,6,4,6,4,2,4,6,6,3,6,2,6,6,6,2,6,5.55
43,22,English,White,Male,Actual,Control,8,Order1,,6,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,16,Order1,,7,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,11,Order1,,2,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,2,Order1,,7,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,14,Order1,,5,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,3,Order1,,6,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,9,Order1,,3,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,7,Order1,,5,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,17,Order1,,4,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,15,Order1,,5,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,12,Order1,,4,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,4,Order1,,6,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,13,Order1,,6,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,6,Order1,,5,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Maximize,1,Order1,,5,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,5,Order1,,6,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,10,Order1,,4,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
43,22,English,White,Male,Actual,Control,18,Order1,,3,,4,4,5,4,3,5,5,4,3,5,5,4,4,6,4,5,6,4,5,4,4.45
44,31,English,White,Male,Actual,Control,8,Order1,,7,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,16,Order1,,6,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,11,Order1,,4,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,2,Order1,,5,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,14,Order1,,4,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,3,Order1,,4,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,9,Order1,,3,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,7,Order1,,2,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,17,Order1,,2,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,15,Order1,,4,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,12,Order1,,5,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,4,Order1,,4,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,13,Order1,,5,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,6,Order1,,5,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Maximize,1,Order1,,5,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,5,Order1,,4,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,10,Order1,,3,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
44,31,English,White,Male,Actual,Control,18,Order1,,2,,1,1,1,3,2,3,1,2,4,2,2,2,4,5,5,2,2,2,1,1,2.6
45,23,English,White,Male,Actual,Control,8,Order1,,4,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,16,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,11,Order1,,3,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,2,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,14,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,3,Order1,,6,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,9,Order1,,4,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,7,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,17,Order1,,4,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,15,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,12,Order1,,6,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,4,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,13,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,6,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Maximize,1,Order1,,6,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,5,Order1,,5,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,10,Order1,,4,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
45,23,English,White,Male,Actual,Control,18,Order1,,2,,3,5,3,4,2,5,5,5,4,6,5,4,4,5,3,6,5,6,4,2,4.4
46,30,English,White,Male,Actual,Control,8,Order1,,6,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,16,Order1,,5,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,11,Order1,,4,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,2,Order1,,5,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,14,Order1,,4,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,3,Order1,,6,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,9,Order1,,4,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,7,Order1,,4,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,17,Order1,,5,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,15,Order1,,6,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,12,Order1,,5,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,4,Order1,,6,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,13,Order1,,5,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,6,Order1,,4,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Maximize,1,Order1,,4,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,5,Order1,,6,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,10,Order1,,5,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
46,30,English,White,Male,Actual,Control,18,Order1,,3,,3,4,3,6,2,5,3,2,3,2,4,2,5,3,2,4,2,6,3,4,3.5
47,50,,Black,Male,Actual,Control,8,Order1,,6,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,16,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,11,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,2,Order1,,6,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,14,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,3,Order1,,6,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,9,Order1,,7,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,7,Order1,,6,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,17,Order1,,6,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,15,Order1,,7,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,12,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,4,Order1,,7,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,13,Order1,,7,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,6,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Maximize,1,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,5,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,10,Order1,,6,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
47,50,,Black,Male,Actual,Control,18,Order1,,5,,5,4,3,5,3,4,4,5,5,4,4,4,5,5,3,6,3,3,3,4,4
48,38,English,White,Female,Actual,Control,8,Order1,,4,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,16,Order1,,2,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,11,Order1,,5,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,2,Order1,,4,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,14,Order1,,1,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,3,Order1,,2,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,9,Order1,,3,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,7,Order1,,1,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,17,Order1,,1,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,15,Order1,,3,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,12,Order1,,2,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,4,Order1,,3,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,13,Order1,,5,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,6,Order1,,2,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Maximize,1,Order1,,1,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,5,Order1,,3,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,10,Order1,,5,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
48,38,English,White,Female,Actual,Control,18,Order1,,2,,5,4,5,2,5,5,5,5,3,5,7,6,2,5,1,6,6,5,3,7,5.5
49,21,English,Hispanic,Male,Actual,Control,8,Order1,,2,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,16,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,11,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,2,Order1,,5,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,14,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,3,Order1,,3,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,9,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,7,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,17,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,15,Order1,,5,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,12,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,4,Order1,,5,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,13,Order1,,5,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,6,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Maximize,1,Order1,,5,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,5,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,10,Order1,,3,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
49,21,English,Hispanic,Male,Actual,Control,18,Order1,,4,,3,3,4,3,3,4,3,4,3,4,5,4,4,3,3,4,4,3,4,4,3.9
50,41,English,White,Female,Actual,Control,8,Order1,,7,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,16,Order1,,4,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,11,Order1,,3,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,2,Order1,,4,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,14,Order1,,2,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,3,Order1,,2,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,9,Order1,,4,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,7,Order1,,1,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,17,Order1,,3,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,15,Order1,,2,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,12,Order1,,1,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,4,Order1,,3,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,13,Order1,,1,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,6,Order1,,4,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Maximize,1,Order1,,3,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,5,Order1,,4,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,10,Order1,,2,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
50,41,English,White,Female,Actual,Control,18,Order1,,6,,5,5,6,7,7,6,3,6,7,7,3,7,6,7,5,2,2,6,3,7,4.55
51,34,English,Hispanic,Male,Actual,Control,8,Order1,,1,,5,5,2,3,2,5,4,5,3,3,6,4,3,5,2,3,3,5,1,4,4.45
51,34,English,Hispanic,Male,Actual,Control,16,Order1,,5,,5,5,2,3,2,5,4,5,3,3,6,4,3,5,2,3,3,5,1,4,4.45
51,34,English,Hispanic,Male,Actual,Control,11,Order1,,3,,5,5,2,3,2,5,4,5,3,3,6,4,3,5,2,3,3,5,1,4,4.45
51,34,English,Hispanic,Male,Actual,Maximize,2,Order1,,7,,5,5,2,3,2,5,4,5,3,3,6,4,3,5,2,3,3,5,1,4,4.45
51,34,English,Hispanic,Male,Actual,Control,14,Order1,,1,,5,5,2,3,2,5,4,5,3,3,6,4,3,5,2,3,3,5,1,4,4.45
51,34,English,Hispanic,Male,Actual,Control,3,Order1,,5,,5,5,2,3,2,5,4,5,3,3,6,4,3,5,2,3,3,5,1,4,4.45
